2018-06-22T09:56:26Z, 61, NWL, Adjust, 17
2018-06-22T13:06:08Z, 61, NTP, Adjust, 20
2018-06-22T17:39:05Z, 61, NTP, Adjust, 5
2018-06-22T22:12:09Z, 62, NTP, Adjust, -5
2018-06-23T02:45:18Z, 62, NTP, Adjust, -15
2018-06-23T07:18:19Z, 62, NTP, Adjust, -5
2018-06-23T11:51:23Z, 61, NTP, Adjust, 5
2018-06-23T16:24:28Z, 61, NTP, Adjust, -5
2018-06-24T02:35:47Z, 62, NTP, Adjust, 5
2018-06-24T07:08:52Z, 62, NTP, Adjust, 5
2018-06-24T11:41:58Z, 61, NTP, Adjust, 5
2018-06-24T19:42:53Z, 61, NTP, Adjust, 5
2018-06-25T00:15:57Z, 59, NTP, Adjust, -5
2018-06-25T05:54:20Z, 59, NTP, Adjust, -10
2018-06-25T10:27:24Z, 58, NTP, Adjust, 5
2018-06-25T23:01:21Z, 58, NTP, Adjust, 5
2018-06-26T03:34:26Z, 58, NTP, Adjust, 5
2018-06-26T08:07:31Z, 58, NTP, Adjust, 5
2018-06-26T12:40:39Z, 58, NTP, Adjust, -15
2018-06-26T17:13:46Z, 58, NTP, Adjust, -20
2018-06-26T21:46:43Z, 58, NTP, Adjust, -5
2018-06-27T11:52:51Z, 58, NTP, Adjust, 5
2018-06-27T17:04:29Z, 58, NTP, Adjust, 20
2018-06-27T21:37:29Z, 58, NTP, Adjust, 5
2018-06-28T02:10:38Z, 58, NTP, Adjust, 15
2018-06-28T06:43:42Z, 58, NTP, Adjust, -10
2018-06-28T11:16:44Z, 58, NTP, Adjust, -5
2018-06-28T15:49:48Z, 58, NTP, Adjust, -5
2018-06-28T20:22:50Z, 58, NTP, Adjust, -5
2018-06-29T00:55:53Z, 57, NTP, Adjust, 5
2018-06-29T05:28:59Z, 58, NTP, Adjust, 10
2018-06-29T10:02:00Z, 58, NTP, Adjust, -5
2018-06-29T14:35:06Z, 59, NTP, Adjust, -10
2018-06-29T19:08:09Z, 58, NTP, Adjust, -10
2018-06-30T04:14:14Z, 58, NTP, Adjust, 5
2018-06-30T08:47:18Z, 58, NTP, Adjust, 5
2018-06-30T13:20:26Z, 58, NTP, Adjust, 10
2018-06-30T17:53:27Z, 58, NTP, Adjust, -5
2018-07-01T01:54:17Z, 58, NTP, Adjust, 5
2018-07-01T06:27:20Z, 60, NTP, Adjust, -5
2018-07-01T11:00:25Z, 60, NTP, Adjust, 5
2018-07-01T15:33:29Z, 58, NTP, Adjust, -5
2018-07-01T20:06:34Z, 58, NTP, Adjust, -5
2018-07-02T00:39:39Z, 57, NTP, Adjust, -5
2018-07-02T05:12:45Z, 59, NTP, Adjust, 5
2018-07-02T09:45:49Z, 58, NTP, Adjust, 5
2018-07-02T14:18:52Z, 58, NTP, Adjust, -5
2018-07-02T18:51:55Z, 58, NTP, Adjust, -5
2018-07-02T23:24:59Z, 58, NTP, Adjust, -5
2018-07-03T03:58:05Z, 58, NTP, Adjust, 5
2018-07-03T08:31:08Z, 58, NTP, Adjust, 5
2018-07-03T13:04:15Z, 59, NTP, Adjust, 15
2018-07-03T17:37:17Z, 58, NTP, Adjust, -5
2018-07-03T22:10:20Z, 58, NTP, Adjust, -5
2018-07-04T02:43:23Z, 58, NTP, Adjust, 5
2018-07-04T07:16:29Z, 59, NTP, Adjust, -5
2018-07-04T11:49:33Z, 58, NTP, Adjust, 5
2018-07-04T16:22:37Z, 59, NTP, Adjust, 5
2018-07-04T20:55:45Z, 59, NTP, Adjust, -10
2018-07-05T01:28:51Z, 58, NTP, Adjust, -10
2018-07-05T06:01:53Z, 58, NTP, Adjust, -5
2018-07-05T10:34:56Z, 58, NTP, Adjust, 5
2018-07-05T16:13:19Z, 58, NTP, Adjust, 5
2018-07-05T20:46:24Z, 57, NTP, Adjust, 5
2018-07-06T01:19:29Z, 57, NTP, Adjust, -5
2018-07-06T05:52:32Z, 59, NTP, Adjust, 5
2018-07-06T10:25:38Z, 60, NTP, Adjust, 5
2018-07-06T14:58:44Z, 59, NTP, Adjust, 5
2018-07-06T23:26:40Z, 58, NTP, Adjust, 10
2018-07-07T08:32:49Z, 58, NTP, Adjust, 5
2018-07-08T07:56:37Z, 59, NTP, Adjust, -50
2018-07-08T08:51:19Z, 59, NWL, Measmt, 66
2018-07-08T08:51:46Z, 59, NWL, Adjust, 62
2018-07-08T11:24:11Z, 59, NTP, Adjust, -25
2018-07-08T15:57:13Z, 58, NTP, Adjust, -20
2018-07-08T20:30:10Z, 58, NTP, Adjust, -5
2018-07-09T01:03:16Z, 58, NTP, Adjust, 5
2018-07-09T05:36:23Z, 58, NTP, Adjust, 15
2018-07-09T10:09:24Z, 58, NTP, Adjust, -5
2018-07-09T14:42:30Z, 58, NTP, Adjust, 5
2018-07-09T19:15:33Z, 58, NTP, Adjust, -5
2018-07-09T23:48:36Z, 59, NTP, Adjust, -5
2018-07-10T08:54:46Z, 58, NTP, Adjust, 5
